Created as New Dataset,FAGACs
nm,A
850.0,-0.0065
849.0,0.0004
848.0,-0.0076
847.0,-0.0067
846.0,-0.0065
845.0,-0.0006
844.0,-0.0041
843.0,0.0002
842.0,-0.0049
841.0,-0.0028
840.0,0.0000
839.0,-0.0033
838.0,0.0040
837.0,-0.0014
836.0,0.0008
835.0,-0.0041
834.0,-0.0077
833.0,-0.0076
832.0,-0.0011
831.0,-0.0049
830.0,-0.0034
829.0,-0.0036
828.0,-0.0041
827.0,-0.0043
826.0,0.0003
825.0,-0.0054
824.0,-0.0023
823.0,-0.0081
822.0,-0.0046
821.0,-0.0044
820.0,-0.0019
819.0,-0.0074
818.0,-0.0056
817.0,0.0009
816.0,-0.0004
815.0,-0.0033
814.0,-0.0064
813.0,-0.0033
812.0,-0.0043
811.0,-0.0060
810.0,-0.0002
809.0,-0.0053
808.0,-0.0065
807.0,-0.0015
806.0,-0.0031
805.0,-0.0029
804.0,-0.0039
803.0,-0.0012
802.0,-0.0006
801.0,-0.0026
800.0,-0.0051
799.0,-0.0016
798.0,-0.0025
797.0,-0.0028
796.0,-0.0007
795.0,-0.0043
794.0,-0.0026
793.0,-0.0049
792.0,-0.0009
791.0,-0.0030
790.0,-0.0023
789.0,-0.0053
788.0,-0.0011
787.0,-0.0015
786.0,-0.0039
785.0,-0.0078
784.0,-0.0036
783.0,-0.0065
782.0,-0.0049
781.0,-0.0038
780.0,-0.0051
779.0,-0.0049
778.0,-0.0058
777.0,-0.0072
776.0,-0.0060
775.0,-0.0037
774.0,-0.0025
773.0,-0.0024
772.0,-0.0017
771.0,-0.0035
770.0,-0.0048
769.0,-0.0037
768.0,-0.0025
767.0,-0.0027
766.0,-0.0062
765.0,-0.0055
764.0,-0.0043
763.0,-0.0044
762.0,-0.0050
761.0,-0.0036
760.0,-0.0040
759.0,-0.0041
758.0,-0.0053
757.0,-0.0038
756.0,-0.0037
755.0,-0.0060
754.0,-0.0047
753.0,-0.0049
752.0,-0.0041
751.0,-0.0050
750.0,-0.0042
749.0,-0.0058
748.0,-0.0037
747.0,-0.0038
746.0,-0.0049
745.0,-0.0041
744.0,-0.0053
743.0,-0.0051
742.0,-0.0048
741.0,-0.0057
740.0,-0.0059
739.0,-0.0061
738.0,-0.0063
737.0,-0.0041
736.0,-0.0055
735.0,-0.0046
734.0,-0.0037
733.0,-0.0045
732.0,-0.0057
731.0,-0.0050
730.0,-0.0038
729.0,-0.0034
728.0,-0.0038
727.0,-0.0048
726.0,-0.0051
725.0,-0.0049
724.0,-0.0058
723.0,-0.0055
722.0,-0.0047
721.0,-0.0049
720.0,-0.0054
719.0,-0.0060
718.0,-0.0066
717.0,-0.0052
716.0,-0.0061
715.0,-0.0055
714.0,-0.0036
713.0,-0.0045
712.0,-0.0050
711.0,-0.0053
710.0,-0.0057
709.0,-0.0055
708.0,-0.0056
707.0,-0.0051
706.0,-0.0059
705.0,-0.0061
704.0,-0.0039
703.0,-0.0029
702.0,-0.0018
701.0,-0.0022
700.0,-0.0032
699.0,-0.0037
698.0,-0.0029
697.0,-0.0015
696.0,-0.0030
695.0,-0.0040
694.0,-0.0027
693.0,-0.0021
692.0,-0.0031
691.0,-0.0030
690.0,-0.0020
689.0,-0.0015
688.0,-0.0008
687.0,-0.0009
686.0,-0.0007
685.0,-0.0002
684.0,0.0005
683.0,0.0015
682.0,0.0029
681.0,0.0038
680.0,0.0053
679.0,0.0064
678.0,0.0084
677.0,0.0099
676.0,0.0110
675.0,0.0129
674.0,0.0154
673.0,0.0188
672.0,0.0221
671.0,0.0242
670.0,0.0290
669.0,0.0335
668.0,0.0388
667.0,0.0451
666.0,0.0515
665.0,0.0600
664.0,0.0677
663.0,0.0758
662.0,0.0853
661.0,0.0938
660.0,0.1030
659.0,0.1129
658.0,0.1238
657.0,0.1343
656.0,0.1450
655.0,0.1554
654.0,0.1648
653.0,0.1747
652.0,0.1850
651.0,0.1930
650.0,0.2009
649.0,0.2083
648.0,0.2152
647.0,0.2198
646.0,0.2262
645.0,0.2318
644.0,0.2370
643.0,0.2398
642.0,0.2439
641.0,0.2469
640.0,0.2490
639.0,0.2516
638.0,0.2533
637.0,0.2569
636.0,0.2580
635.0,0.2602
634.0,0.2617
633.0,0.2623
632.0,0.2632
631.0,0.2656
630.0,0.2668
629.0,0.2670
628.0,0.2696
627.0,0.2697
626.0,0.2722
625.0,0.2722
624.0,0.2732
623.0,0.2752
622.0,0.2755
621.0,0.2759
620.0,0.2760
619.0,0.2786
618.0,0.2816
617.0,0.2813
616.0,0.2808
615.0,0.2827
614.0,0.2839
613.0,0.2854
612.0,0.2867
611.0,0.2874
610.0,0.2895
609.0,0.2914
608.0,0.2934
607.0,0.2940
606.0,0.2962
