Created as New Dataset,FAGACs+1p25PEAI
nm,A
850.0,-0.0034
849.0,0.0009
848.0,-0.0052
847.0,-0.0127
846.0,-0.0069
845.0,0.0011
844.0,-0.0027
843.0,-0.0002
842.0,-0.0030
841.0,-0.0053
840.0,-0.0050
839.0,-0.0043
838.0,-0.0013
837.0,-0.0006
836.0,0.0017
835.0,-0.0010
834.0,-0.0086
833.0,-0.0020
832.0,0.0014
831.0,-0.0057
830.0,-0.0009
829.0,-0.0048
828.0,-0.0043
827.0,-0.0044
826.0,-0.0055
825.0,-0.0057
824.0,-0.0046
823.0,-0.0085
822.0,-0.0076
821.0,-0.0049
820.0,-0.0058
819.0,-0.0012
818.0,-0.0027
817.0,-0.0014
816.0,0.0026
815.0,-0.0049
814.0,-0.0054
813.0,-0.0033
812.0,-0.0029
811.0,-0.0045
810.0,-0.0008
809.0,-0.0042
808.0,-0.0027
807.0,-0.0030
806.0,-0.0062
805.0,-0.0035
804.0,-0.0036
803.0,-0.0019
802.0,0.0014
801.0,-0.0033
800.0,-0.0065
799.0,-0.0022
798.0,-0.0032
797.0,0.0006
796.0,0.0013
795.0,-0.0067
794.0,-0.0028
793.0,-0.0051
792.0,-0.0036
791.0,-0.0012
790.0,-0.0018
789.0,-0.0050
788.0,-0.0030
787.0,-0.0025
786.0,-0.0023
785.0,-0.0067
784.0,-0.0056
783.0,-0.0051
782.0,-0.0039
781.0,-0.0025
780.0,-0.0034
779.0,-0.0042
778.0,-0.0041
777.0,-0.0047
776.0,-0.0047
775.0,-0.0058
774.0,-0.0015
773.0,-0.0028
772.0,-0.0023
771.0,-0.0038
770.0,-0.0042
769.0,-0.0044
768.0,-0.0028
767.0,-0.0011
766.0,-0.0042
765.0,-0.0055
764.0,-0.0050
763.0,-0.0023
762.0,-0.0030
761.0,-0.0044
760.0,-0.0077
759.0,-0.0058
758.0,-0.0066
757.0,-0.0037
756.0,-0.0017
755.0,-0.0035
754.0,-0.0049
753.0,-0.0043
752.0,-0.0033
751.0,-0.0027
750.0,-0.0022
749.0,-0.0041
748.0,-0.0032
747.0,-0.0056
746.0,-0.0060
745.0,-0.0034
744.0,-0.0027
743.0,-0.0032
742.0,-0.0042
741.0,-0.0043
740.0,-0.0034
739.0,-0.0047
738.0,-0.0054
737.0,-0.0042
736.0,-0.0038
735.0,-0.0031
734.0,-0.0038
733.0,-0.0042
732.0,-0.0036
731.0,-0.0043
730.0,-0.0022
729.0,-0.0025
728.0,-0.0025
