Created as New Dataset,FAGACs+5PEAI
nm,A
850.0,-0.0016
849.0,-0.0044
848.0,-0.0108
847.0,-0.0091
846.0,-0.0067
845.0,-0.0042
844.0,-0.0042
843.0,-0.0046
842.0,-0.0060
841.0,-0.0065
840.0,-0.0030
839.0,-0.0079
838.0,-0.0010
837.0,-0.0038
836.0,-0.0080
835.0,-0.0045
834.0,-0.0084
833.0,-0.0060
832.0,-0.0029
831.0,-0.0092
830.0,-0.0045
829.0,-0.0081
828.0,-0.0062
827.0,-0.0058
826.0,-0.0038
825.0,-0.0045
824.0,-0.0054
823.0,-0.0091
822.0,-0.0053
821.0,-0.0060
820.0,-0.0084
819.0,-0.0048
818.0,-0.0092
817.0,-0.0012
816.0,-0.0043
815.0,-0.0055
814.0,-0.0070
813.0,-0.0053
812.0,-0.0080
811.0,-0.0061
810.0,-0.0076
809.0,-0.0093
808.0,-0.0088
807.0,-0.0056
806.0,-0.0044
805.0,-0.0059
804.0,-0.0072
803.0,-0.0060
802.0,-0.0064
801.0,-0.0082
800.0,-0.0090
799.0,-0.0081
798.0,-0.0045
797.0,-0.0046
796.0,-0.0052
795.0,-0.0060
794.0,-0.0047
793.0,-0.0069
792.0,-0.0051
791.0,-0.0061
790.0,-0.0045
789.0,-0.0062
788.0,-0.0027
787.0,-0.0029
786.0,-0.0062
785.0,-0.0064
784.0,-0.0049
783.0,-0.0071
782.0,-0.0054
781.0,-0.0055
780.0,-0.0071
779.0,-0.0061
778.0,-0.0051
777.0,-0.0038
776.0,-0.0044
775.0,-0.0058
774.0,-0.0041
773.0,-0.0037
772.0,-0.0055
771.0,-0.0068
770.0,-0.0057
769.0,-0.0060
768.0,-0.0048
767.0,-0.0042
766.0,-0.0071
765.0,-0.0072
764.0,-0.0044
763.0,-0.0049
762.0,-0.0050
761.0,-0.0054
760.0,-0.0066
759.0,-0.0057
758.0,-0.0073
757.0,-0.0054
756.0,-0.0053
755.0,-0.0060
754.0,-0.0043
753.0,-0.0070
752.0,-0.0049
751.0,-0.0054
750.0,-0.0051
749.0,-0.0052
748.0,-0.0048
747.0,-0.0044
746.0,-0.0021
745.0,-0.0024
744.0,-0.0036
743.0,-0.0035
742.0,-0.0046
741.0,-0.0046
740.0,-0.0033
739.0,-0.0041
738.0,-0.0052
737.0,-0.0039
736.0,-0.0041
735.0,-0.0022
734.0,-0.0030
733.0,-0.0034
732.0,-0.0025
731.0,-0.0019
730.0,-0.0002
729.0,-0.0005
728.0,-0.0005
727.0,-0.0002
726.0,0.0005
725.0,0.0022
724.0,0.0029
723.0,0.0022
722.0,0.0031
721.0,0.0050
720.0,0.0049
719.0,0.0048
718.0,0.0046
717.0,0.0061
716.0,0.0065
715.0,0.0085
714.0,0.0112
713.0,0.0112
712.0,0.0112
711.0,0.0116
710.0,0.0130
709.0,0.0153
708.0,0.0176
707.0,0.0194
706.0,0.0196
705.0,0.0206
704.0,0.0243
703.0,0.0272
702.0,0.0296
701.0,0.0318
700.0,0.0336
699.0,0.0356
698.0,0.0384
697.0,0.0408
696.0,0.0430
695.0,0.0454
694.0,0.0486
693.0,0.0532
692.0,0.0553
691.0,0.0572
690.0,0.0622
689.0,0.0661
688.0,0.0691
687.0,0.0725
686.0,0.0762
685.0,0.0802
684.0,0.0828
683.0,0.0874
682.0,0.0921
681.0,0.0947
680.0,0.0982
679.0,0.1013
678.0,0.1055
677.0,0.1087
676.0,0.1096
675.0,0.1114
674.0,0.1135
673.0,0.1162
672.0,0.1180
671.0,0.1186
670.0,0.1205
669.0,0.1220
668.0,0.1234
667.0,0.1261
666.0,0.1253
665.0,0.1260
664.0,0.1282
663.0,0.1280
662.0,0.1284
661.0,0.1287
660.0,0.1293
659.0,0.1296
658.0,0.1293
657.0,0.1296
656.0,0.1299
655.0,0.1298
654.0,0.1306
653.0,0.1310
652.0,0.1312
651.0,0.1310
650.0,0.1302
649.0,0.1299
648.0,0.1296
647.0,0.1289
646.0,0.1297
645.0,0.1298
644.0,0.1300
643.0,0.1302
642.0,0.1303
641.0,0.1297
640.0,0.1291
639.0,0.1303
638.0,0.1304
637.0,0.1315
636.0,0.1317
635.0,0.1309
634.0,0.1306
633.0,0.1305
632.0,0.1316
631.0,0.1318
630.0,0.1316
629.0,0.1303
628.0,0.1323
627.0,0.1320
626.0,0.1323
625.0,0.1321
624.0,0.1327
623.0,0.1324
622.0,0.1329
